PERMEN LHK. 3/0,UU. 5/1990,PP. 13/1994,PP. 18/1994,PP. 68/1998,UU. 41/1999,PP. 7/1999,PP. 8/1999,PP. 34/2002,PP. 35/2002,PP. 63/2002,UU. 19/2004,PP. 44/2004,PP. 45/2004,PERMEN LH. 10/2006,PERMEN LH. 11/2006,PERMEN LH. 12/2006,PERMEN LH. 14/2006,UU. 16/2006,PERMEN LH. 2/2006,PERMEN LH. 3/2006
"Peraturan Bersama Menteri Dalam Negeri RI, Menteri Kehutanan RI, Menteri Pekerjaan Umum RI dan Kepala Badan Pertanahan Nasional RI Nomor 79 Tahun 2014, Nomor PB.3/Menhut-II/2014, Nomor 17/PRT/M/2014, Nomor 8/SKB/X/2014 tentang Tata Cara Penyelesaian",KONSERVASI SUMBER DAYA ALAM HAYATI DAN EKOSISTEMNYA,PERBURUAN SATWA BURU,PENGUSAHAAN PARIWISATA ALAM,KAWASAN SUAKA ALAM DAN KAWASAN PELESTARIAN ALAM,KEHUTANAN,PENGAWETAN JENIS TUMBUHAN DAN SATWA,PEMANFAATAN JENIS TUMBUHAN DAN SATWA LIAR,TATA HUTAN DAN PENYUSUNAN RENCANA PENGELOLAAN HUTAN,DANA REBOISASI,HUTAN KOTA,PENETAPAN PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG NOMOR 1 TAHUN 2004 TENTANG PERUBAHAN ATAS UNDANG-UNDANG NOMOR 41 TAHUN 1999 TENTANG KEHUTANAN MENJADI UNDANG-UNDANG,PERENCANAAN HUTAN,PERLINDUNGAN HUTAN,BAKU MUTU AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN INDUSTRI VINYL CHLORIDE MONOMER DAN POLY VINYL CHLORIDE,JENIS RENCANA USAHA DAN/ATAU KEGIATAN YANG WAJIB DILENGKAPI DENGAN ANALISIS MENGENAI DAMPAK LINGKUNGAN HIDUP,PERSYARATAN DAN TATA CARA PERIZINAN PEMBUANGAN AIR LIMBAH KE LAUT,PEDOMAN PELAKSANAAN PROGRAM ADIPURA,"SISTEM PENYULUHAN PERTANIAN, PERIKANAN, DAN KEHUTANAN",BAKU MUTU AIR LIMBAH BAGI KEGIATAN RUMAH PEMOTONGAN HEWAN,PROGRAM MENUJU INDONESIA HIJAU
PERMEN LH. 4/2006,PERMEN LH. 5/2006,PERMEN LH. 6/2006,PERMEN LH. 7/2006,PERMEN LH. 8/2006,PERMEN LH. 9/2006,PERMEN LH. 1/2007,PERMEN LH. 10/2007,PERMEN LH. 12/2007,PERMEN LH. 13/2007,PERMEN LH. 2/2007,PERMEN LH. 3/2007,PERMEN LH. 4/2007,PERMEN LH. 5/2007,PP. 58/2007,PP. 6/2007,PERMEN LH. 6/2007,PERMEN LH. 7/2007,PERMEN LH. 8/2007,PERMEN LH. 9/2007,PERMENHUT. 1/2008
BAKU MUTU AIR LIMBAH BAGI USAHA DAN ATAU KEGIATAN PERTAMBANGAN BIJIH TIMAH,AMBANG BATAS EMISI GAS BUANG KENDARAAN BERMOTOR LAMA,PEDOMAN UMUM STANDARISASI KOMPETENSI PERSONIL LEMBAGA JASA LINGKUNGAN,TATA CARA PENGUKURAN KRITERIA BAKU KERUSAKAN TANAH UNTUK PRODUKSI BIOMASSA,PEDOMAN PENYUSUNAN ANALISIS MENGENAI DAMPAK LINGKUNGAN HIDUP,BAKU MUTU AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN PERTAMBANGAN BIJIH NIKEL,PEDOMAN PENGKAJIAN TEKNIS UNTUK MENETAPKAN KELAS AIR,BAKU MUTU AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN INDUSTRI PURIFIED TEREPHTHALIC ACID DAN POLY ETHYLENE TEREPHTALATE,DOKUMEN PENGELOLAAN DAN PEMANTAUAN LINGKUNGAN HIDUP BAGI USAHA DAN/ATAU KEGIATAN YANG TIDAK MEMILIKI DOKUMEN PENGELOLAAN LINGKUNGAN HIDUP,PERSYARATAN DAN TATA CARA PENGELOLAAN AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN HULU MINYAK DAN GAS SERTA PANAS BUMI DENGAN CARA INJEKSI,PEDOMAN TEKNIS DAN PERSYARATAN KOMPETENSI PELAKSANAAN RETROFIT DAN RECYCLE PADA SISTEM REFRIGERASI,FASILITAS PENGUMPULAN DAN PENYIMPANAN LIMBAH BAHAN BERBAHAYA DAN BERACUN DI PELABUHAN,BAKU MUTU AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN MINYAK DAN GAS SERTA PANAS BUMI,BAKU MUTU AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN PENGOLAHAN BUAH-BUAHAN DAN/ATAU SAYURAN,DANA REBOISASI,TATA HUTAN DAN PENYUSUNAN RENCANA PENGELOLAAN HUTAN,BAKU MUTU AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN PENGOLAHAN HASIL PERIKANAN,BAKU MUTU EMISI SUMBER TIDAK BERGERAK BAGI KETEL UAP,BAKU MUTU AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN INDUSTRI PETROKIMIA HULU,BAKU MUTU AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN INDUSTRI RAYON,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.1/Menhut-II/2008 tentang Rencana Kehutanan Tingkat Nasional
PERMEN LH. 1/2008,PERMENHUT. 10/2008,PERMENHUT. 11/2008,PERMEN LH. 11/2008,PERMENHUT. 12/2008,PERMEN LH. 12/2008,PERMEN LH. 13/2008,PERMEN LH. 14/2008,PERMENHUT. 15/2008,PERMEN LH. 15/2008,PERMENHUT. 16/2008,PERMEN LH. 16/2008,PERMENHUT. 17/2008,PERMEN LH. 17/2008,PERMENHUT. 18/2008,UU. 18/2008,PERMEN LH. 18/2008,PERMENHUT. 19/2008,PERMEN LH. 19/2008,PERMENHUT. 2/2008,PERMEN LH. 2/2008
Peraturan Menteri Negara Lingkungan Hidup Nomor 1 Tahun 2008 tentang Petunjuk Teknis Pemanfaatan Dana Alokasi Khusus Bidang Lingkungan Hidup Tahun 2008,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.10/Menhut-II/2008 tentang Pedoman Teknis Pengawasan Lingkup Departemen Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.11/Menhut-II/2008 tentang Perubahan Kedua Peraturan Menteri Kehutanan Nomor P.19/Menhut-II/2007 tentang Tata Cara Pemberian Izin dan Perluasan Areal Kerja Usaha Pemanfaatan Hasil Hutan Kayu Pad,Peraturan Menteri Negara Lingkungan Hidup Nomor 11 Tahun 2008 tentang Persyaratan Kompetensi Dalam Penyusunan Dokumen Analisis Mengenai Dampak Lingkungan Hidup dan Persyaratan Lembaga Pelatihan Kompetensi Penyusun Dokumen Analisis Mengenai Dampak Lin,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.12/Menhut-II/2008 tentang Perubahan Kedua Peraturan Menteri Kehutanan Nomor P.20/Menhut-II/2007 tentang Tata Cara Pemberian Izin Usah Apemanfaatan Hasil Hutan Kayu Dalam Hutan Alam Pada Hutan P,Peraturan Menteri Negara Lingkungan Hidup Nomor 12 Tahun 2008 tentang Baku Mutu Air Limbah Bagi Usaha dan/atau Kegiatan Pengolahan Rumput Laut,Peraturan Menteri Negara Lingkungan Hidup Nomor 13 Tahun 2008 tentang Baku Mutu Air Limbah Bagi Usaha dan/atau Kegiatan Pengolahan Kelapa,Peraturan Menteri Negara Lingkungan Hidup Nomor 14Tahun 2008 tentang Baku Mutu Air Limbah Bagi Usaha dan/atau Kegiatan Pengolahan Daging,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.15/Menhut-II/2008 tentang Perubahan Keenam Atas Peraturan Menteri Kehutanan Nomor P.13/Menhut-II/2005 Tentang Organisasi dan Tata Kerja Departmen Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 15 Tahun 2008 tentang Baku Mutu Air Limbah Bagi Usaha dan/atau Kegiatan Pengolahan Kedelai,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.16/Menhut-II/2008 tentang Kriteria Usaha Mikro, Kecil, Menengah (Umkm) dan Koperasi yang Dapat Memperoleh Fasilitas Kredit/Pembiayaan dengan Penjaminan",Peraturan Menteri Negara Lingkungan Hidup Nomor 16 Tahun 2008 tentang Baku Mutu Air Limbah Bagi Usaha dan/atau Kegiatan Industri Keramik,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.17/Menhut-II/2008 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.54/Menhut-II/2007 tentang Izin Peralatan Untuk Kegiatan Izin Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Alam ata,Peraturan Menteri Negara Lingkungan Hidup Nomor 17 Tahun 2008 tentang Baku Mutu Emisi Sumber Tidak Bergerak Bagi Usaha dan/atau Kegiatan Industri Keramik,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.18/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutanan Kupang,Peraturan Pemerintah Republik Indonesia Nomor 18 Tahun 2008 tentang Pengelolaan Sampah,Peraturan Menteri Negara Lingkungan Hidup Nomor 18 Tahun 2008 tentang Baku Mutu Emisi Sumber Tidak Bergerak Bagi Usaha dan/atau Kegiatan Industri Carbon Black,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.19/Menhut-II/2008 tentang Perubahan Lampiran Peraturan Menteri Kehutanan Nomor P.57/Menhut-II/2007 Tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Ta,Peraturan Menteri Negara Lingkungan Hidup Nomor 19 Tahun 2008 tentang Standar Pelayanan Minimal Bidang Lingkungan Hidup Daerah Provinsi dan Daerah Kabupaten/Kota,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.2/Menhut-II/2008 tentang Perubahan Peraturan Menteri Kehutanan Nomor P.45/Menhut-II/2007 tentang Tata Cara Izin Peralatan Pemanfaatan Hasil Hutan Kayu dan Bukan Kayu Pada Hutan Tanaman Industri,Peraturan Menteri Negara Lingkungan Hidup Nomor 2 Tahun 2008 tentang Pemanfaatan Limbah Bahan Berbahaya dan Beracun
PERMENHUT. 20/2008,PERMEN LH. 20/2008,PERMEN LH. 21/2008,PERMENHUT. 23/2008,PERMEN LH. 23/2008,PERMENHUT. 24/2008,PERMENHUT. 25/2008,PERMENHUT. 26/2008,PERMENHUT. 27/2008,PERMENHUT. 28/2008,PERMENHUT. 29/2008,PERMENHUT. 3/2008,PP. 3/2008,PERMEN LH. 3/2008,PERMENHUT. 30/2008,PERMENHUT. 31/2008,PERMENHUT. 32/2008,PERMENHUT. 33/2008,PERMENHUT. 34/2008,PERMENHUT. 35/2008,PERMENHUT. 37/2008
Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.20/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Teknologi Perbenihan Semboja,Peraturan Menteri Negara Lingkungan Hidup Nomor 20 Tahun 2008 tentang Petunjuk Teknis Standar Pelayanan Minimal Bidang Lingkungan Hidup Daerah Provinsi Dan Daerah Kabupaten/Kota,Peraturan Menteri Negara Lingkungan Hidup Nomor 21 Tahun 2008 tentang Baku Mutu Emisi Sumber Tidak Bergerak Bagi Usaha dan/atau Kegiatan Pembangkit Listrik Termal,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.23/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutanan Banjarbaru,Peraturan Menteri Negara Lingkungan Hidup Nomor 23 Tahun 2008 tentang Pedoman Teknis Pencegahan Pencemaran dan/atau Kerusakan Lingkungan Hidup Akibat Pertambangan Emas Rakyat,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.24/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Besar Penelitian Bioteknologi dan Pemuliaan Tanaman Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.25/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutanan Solo,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.26/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutanan Palembang,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.27/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutanan Manado,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.28/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Teknologi Perbenihan Bogor,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.29/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutanan Mataram,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.3/Menhut-II/2008 tentang Deliniasi Areal Izin Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Tanaman Industri Dalam Hutan Tanaman,Peraturan Pemerintah Republik Indonesia Nomor 3 Tahun 2008 tentang Tata Hutan dan Penyusunan Rencana Pengelolaan Hutan,Peraturan Menteri Negara Lingkungan Hidup Nomor 3 Tahun 2008 tentang Tata Cara Pemberian Simbol dan Label Bahan Berbahaya dan Beracun,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.30/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutanan Aek Nauli,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.31/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Besar Penelitian Dipterokarpa,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.32/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Hutan Penghasil Serat Kuok,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.33/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutana Manokwari,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.34/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Penelitian Kehutanan Makasar,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.35/Menhut-II/2008 tentang Izin Usaha Industri Primer Hasil Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.37/Menhut-II/2008 tentang Petunjuk Pelaksanaan Penyelesaian Kerugian Negara Melalui Tuntutan Perbendaharaan dan Tuntutan Ganti Rugi Lingkup Departemen Kehutanan
PERMENHUT. 38/2008,PERMENHUT. 39/2008,PERMENHUT. 4/2008,PERMEN LH. 4/2008,PERMENHUT. 41/2008,PERMENHUT. 42/2008,PERMENHUT. 43/2008,PERMENHUT. 44/2008,PERMENHUT. 45/2008,PERMENHUT. 46/2008,PERMENHUT. 47/2008,PERMENHUT. 48/2008,PERMENHUT. 49/2008,PERMENHUT. 5/2008,PERMENHUT. 50/2008,PERMENHUT. 51/2008,PERMENHUT. 52/2008,PERMENHUT. 53/2008,PERMENHUT. 54/2008,PERMENHUT. 55/2008,PERMENHUT. 56/2008
Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.38/Menhut-II/2008 tentang Perubahan Lampiran Peraturan Menteri Kehutanan Nomor P.59/Menhut-II/2007 Tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Ko,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.39/Menhut-II/2008 tentang Tata Cara Pengenaan Sanksi Administratif Terhadap Pemegang Izin Pemanfaatan Hutan,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.4/Menhut-II/2008 tentang Norma, Standar, Prosedur dan Kriteria Pemberian Izin Pemasukan dan Penggunaan Peralatan untuk Kegiatan Izin Pemanfaatan Kayu (Ipk)",Peraturan Menteri Negara Lingkungan Hidup Nomor 4 Tahun 2008 tentang Tata Kerja Komisi Penilai Analisis Mengenai Dampak Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.41/Menhut-II/2008 tentang Pedoman Penyusunan Rencana Pengelolaan Kawasan Suaka Alam dan Kawasan Pelestarian Alam,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.42/Menhut-II/2008 tentang Pencabutan Keputusan Menteri Kehutanan Nomor 8171/Kpts-II/2002 tentang Kriteria Potensi Hutan Alam Pada Hutan Produksi Yang Dapat Diberikan Izin Usaha Pemanfaatan Hasi,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.43/Menhut-II/2008 tentang Pedoman Pinjam Pakai Kawasan Hutan,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.44/Menhut-II/2008 tentang Tata Cara Pelaksanaan Penggunaan, Pemanfaatan, Penghapusan, dan Pemindahtanganan Barang Milik Negara Lingkup Departemen Kehutanan",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.45/Menhut-II/2008 tentang Penatausahaan Barang Milik Negara Lingkup Departemen Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.46/Menhut-II/2008 tentang Nama Jabatan dan Uraian Jabatan Struktural dan Non Struktural Unit Pelaksana Teknis Balai Pemantauan Pemanfaatan Hutan Produksi,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.47/Menhut-II/2008 tentang Penetapan Harga Limit Lelang Hasil Hutan Kayu dan Bukan Kayu,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.48/Menhut-II/2008 tentang Pedoman Penanggulangan Konflik Antara Manusia dan Satwa Liar,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.49/Menhut-II/2008 tentang Hutan Desa,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.5/Menhut-II/2008 tentang Perubahan Peraturan Menteri Kehutanan Nomor P.23/Menhut-II/2007 tentang Tata Cara Permohonan Izin Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Tanaman Rakyat Dalam Hut,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.50/Menhut-II/2008 tentang Perubahan Peraturan Menteri Kehutanan Nomor P.45/Menhut-II/2005 tentang Pedoman Tugas Belajar Bagi Pegawai Negeri Sipil Lingkup Departemen Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.51/Menhut-II/2008 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P.21/Menhut-V/2007 tentang Penyelenggaraan Kegiatan Gerakan Nasional Rehabilitasi Hutan dan Lahan Tahun 2007,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.52/Menhut-II/2008 tentang Tata Cara Persyaratan Perpanjangan Izin Usaha Pemanfaatan Hasil Hutan Kayu Dalam Hutan Alam Pada Hutan Produksi,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.53/Menhut-II/2008 tentang Optimalisasi Peruntukan Areal Hutan Produksi yang Dapat Dikonversi (Hpk),Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.54/Menhut-II/2008 tentang Rencana Kerja Kementerian/Lembaga (Renja-Kl) Departemen Kehutanan Tahun 2009,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.55/Menhut-II/2008 tentang Rencana Induk Rehabilitasi dan Konservasi Kawasan Pengembangan Lahan Gambut di Kalimantan Tengah,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.56/Menhut-II/2008 tentang Tata Cara Penentuan Luas Areal Terganggu dan Areal Reklamasi dan Revegetasi Untuk Perhitungan Penerimaan Negara Bukan Pajak Penggunaan Kawasan Hutan
PERMENHUT. 57/2008,PERMENHUT. 58/2008,PERMENHUT. 59/2008,PERMENHUT. 6/2008,PERMEN LH. 6/2008,PERMENHUT. 60/2008,PERMENHUT. 61/2008,PERMENHUT. 62/2008,PERMENHUT. 63/2008,PERMENHUT. 64/2008,PERMENHUT. 65/2008,PERMENHUT. 66/2008,PERMENHUT. 67/2008,PERMENHUT. 68/2008,PERMENHUT. 69/2008,PERMENHUT. 7/2008,PERMEN LH. 7/2008,PERMENHUT. 70/2008,PERMENHUT. 71/2008,PP. 76/2008,PERMENHUT. 8/2008
